title,username,type,id,members_count,description,is_verified,is_scam
WeChall,,group,-4139465915,18,,,
آز پایگاه داده استاد فیاض فر,,group,-4070612539,10,,,
..,,group,-802874286,1,,,
Featured cryptocurrency news,,group,-671927216,23,,,
سلاطین,,group,-438913605,0,,,
سلاطین,,group,-529706513,0,,,
.,,group,-443624298,1,,,
⊱# פگـ ﺷﺑﺂﺑ ۆﺑﻧﺂﭠ ⁞,,group,-527297605,0,,,
Rainbow Six | رینبو سیکس | Iran R6 | ایران آر سیکس,@IRANR6SGP,supergroup,-1001056328017,13819,,False,False
R6Fan | GP,@R6FanGp,supergroup,-1001414309552,9449,,False,False
PC-R6PlayerS | GP,@pcR6gp,supergroup,-1001370362493,735,,False,False
🎮 EAFC26 GROUP | FC26 GROUP 🎮,@EAFC_PRIMEGROUP,supergroup,-1001719395385,198746,,False,False
𝙃𝙐𝙉𝙏𝙀𝙍𝙎 𝙋𝘼𝙍𝘼𝘿𝙄𝙎𝙀 𝙊𝙁 𝙎𝙈 ⛓,,supergroup,-1001629408089,920,,False,False
هیروباکس | دانلود رایگان Freepik 🚀,@herobox_chat,supergroup,-1001693032109,14418,,False,False
حل مشکل دسترسی به اینترنت آزاد,@problem_of_Internet_access,supergroup,-1001881340274,3310,,False,False
MBTI GP,@FarsiMBTIgp,supergroup,-1001653610103,1275,,False,False
گروه گرافیک کافا,@kafagraphicgp,supergroup,-1001166007706,8925,,False,False
ɪʀɢᴛ R6 PC | 𝗚𝗣,@IR6_GP,supergroup,-1002003668510,1620,,False,False
گروه حل مشکلات اینستاگرام,@group_iinsta,supergroup,-1001515786836,9792,,False,False
⛓🥀 𝕽𝖊𝖉 𝖗𝖔𝖔𝖒 🥀⛓,,supergroup,-1002404927747,616,,False,False
• گروه تدوین و موشن گرافیک مشکو,@MshkoMotion,supergroup,-1001447135968,6442,,False,False
⪧⚚ TRANS GP𒆜,,supergroup,-1001855239551,336,,False,False
• گروه کامپیوتر و موبایل مشکو,@MshkoTechnology,supergroup,-1001185843219,8650,,False,False
|Pardis University Gp|,,supergroup,-1001656042882,2251,,False,False
WEB HOSTING GAP,@WEBHGP,supergroup,-1002070392386,4127,,False,False
࿅-𝔤𝔬𝔡𝔣𝔞𝔱𝔥𝔢𝔯𝔣𝔞𝔪𝔦𝔩𝔶-࿅,,supergroup,-1001246054826,6296,,False,False
گروه موشن گرافیک رِوِندِر,@motiongraphic_official,supergroup,-1001777769738,4525,,False,False
گروه کمک درسی دانشگاه,@PNUIRkomak,supergroup,-1001225660675,29633,,False,False
LiNe_BaZi,,supergroup,-1001495161302,10,,False,False
هشتادیا هفتادیا|گروه گپ دهه هشتادیا هفتادیا,@Dahe80_F,supergroup,-1001348082167,8730,,False,False
Quick Help | پرسش و پاسخ,@Quick_helping,supergroup,-1001075490518,1846,,False,False
گروه گرافیک | تاپ دیزاین,@Topdesign_Gp,supergroup,-1001256724196,5150,,False,False
Hiddify Discussion,@hiddify_board,supergroup,-1001835693473,13072,,False,False
༒𝐁𝐋𝐀𝐂𝐊🩸𝐑𝐎𝐎𝐌༒,,supergroup,-1001984009967,814,,False,False
madox,@mhashtadyams,supergroup,-1001359755668,933,,False,False
Blue butterfly🦋,,supergroup,-1002592140704,114,,False,False
Latest Only 🔥🔥,,supergroup,-1002102407207,394,,False,False
معتادین گرافیک🕊✌🏻,@campmotadingraphic,supergroup,-1001315676517,3117,,False,False
𓂃 ࣪˖ ִֶָ Hooti 𝓛𝓪𝓷𝓭 🍬🌈,,supergroup,-1002242852505,350,,False,False
⪧⚚𝐃𝗲𝘃𝗶𝗹 𝐌𝗼𝗼𝗻𒆜🍭,,supergroup,-1001858369489,109,,False,False
تبادلات سیگنال کریپتو ترید بازار ارز دیجیتال,@tradeingofficial,supergroup,-1001856550280,138,,False,False
Photoshop Group,,supergroup,-1001058124605,2201,,False,False
|| ʜᴀᴄᴋɪɴɢ ᴅɪsᴄᴜss ɢʀᴏᴜᴘ ||,@TermuxDiscussion,supergroup,-1001663359614,2482,,False,False
گروه حل مشکلات موبایل و کامپیوتر,@mobile_gaap,supergroup,-1001437264496,742,,False,False
Linux Group,@LinuxGp,supergroup,-1001226492258,1981,,False,False
𝓐𝓛𝓟𝓗𝓐. |•|گَِــپَِـَِـ بَِرَِوَِبَِڪَِــسَِــَِ,,supergroup,-1001341442432,2347,,False,False
TgScanRobot — чат поддержки,@tgscan_support_ru,supergroup,-1001486884246,6053,,False,False
TgScanRobot Support Group,@tgscan_support,supergroup,-1001362582807,7099,,False,False
˖𝙎𝙔-𝙎𝒘𝒂𝒚༒︎,,supergroup,-1001694301181,144,,False,False
𓂃•𝙇𝙞𝙩𝙩𝙡𝙚 𝘾𝙞𝙩𝙮🍼🦄,,supergroup,-1001842709598,41,,False,False
📍phoenix pad,@vpnnv2ray2,supergroup,-1001361107597,14404,,False,False
تاریخ امامت|استاد گوهری|سه شنبه ساعت یک,,supergroup,-1002655769414,10,,False,False
TERMUX DISCUSSION,@Termux_Discussion,supergroup,-1001481782855,82,,False,False
تحلیل و طراحی سیستم ها - پردیس - استاد مسعود حسنی,@systemdesign_pardis,supergroup,-1002066943234,18,,False,False
Bdsm super gp,,supergroup,-1002044216165,27,,False,False
Megazone Group,@gooiddjdj,supergroup,-1001607443477,3141,,False,False
كروب شباب و بنات,@hcfhbkk,supergroup,-1001726834823,0,,False,False
𝑱𝑼𝑺𝑻 𝑩𝑫𝑺𝑴,,supergroup,-1001709534461,20,,False,False
肉肉贷款话术21起,,supergroup,-1002060184038,194,,False,False
IvyMoon | کامنت,,supergroup,-1001856737416,130,,False,False
⑅ 𝑵𝒖𝒕𝒆𝒍𝒍𝒂 ‌ࡅ࣪ߺ❟ࡅߺ߳ܠߊ‌‌ ഒ,,channel,-1001651991564,3125,,False,False
پارتنر یابی بی دی اس ام,@Ts_pertner_yabi,channel,-1001956240243,802,,False,False
𝑃𝑎𝑟𝑡𝑛𝑒𝑟𝑦𝑎𝑏𝑖 ℎ𝑜𝑚𝑒 ☯‍🫂,,channel,-1001757507880,2799,,False,False
༺ ֪֢ ⚡️ℝ𝔼𝕃𝕐𝔸𝔹𝕚✞𝕌ℕ𝕚ℂ𝕆ℝℕ⚡️֪֢ ༻,,channel,-1001576495717,1231,,False,False
🔥 𝐶ℎ𝑎𝑙𝑒𝑠ℎ𝑘𝑎𝑑𝑒 ℎ𝑜𝑚𝑒 ☯‍ 🤍,,channel,-1001531580734,1782,,False,False
لینکدونی تهران گروهکده لینگدونی گپ,@LinkDonipw,channel,-1001176700979,144278,,False,False
رپ بد نیوز | RapBad Newz,@RapBad_Newz,channel,-1001233164248,180122,,False,False
🦋🏳️‍🌈 𝑪𝒓𝒖𝒔𝒉 ʳᵒᵒᵐ ⛓️🩸,,channel,-1001852455844,1931,,False,False
Warp Plus - Free VPN Keys,@warpplus,channel,-1001559138954,420738,,False,False
آزاد پردیس | Azad pardis,@AZAD_PARDIS,channel,-1001649510700,5562,,False,False
کانال خبرفوری🔖اخبار فوری جنگ,@NE_WG,channel,-1001589825550,3186085,,False,False
کانال گیزمیز 💯,@gizmiztel,channel,-1001000737610,926822,,False,False
ᬉ꯭🕊᭄꯭𝑹꯭𝑬꯭𝑳𝒀꯭𝑨𝑩꯭𝑰꯭ 𝑳꯭𝑮꯭𝑩꯭𝑻⊰,,channel,-1001341642242,1773,,False,False
پارتنریابی 🈴📛,,channel,-1001793245295,7247,,False,False
♈️ پارتنر یابی | رل یابی ♈️,@partneryabi_tel,channel,-1001568641791,1534,,False,False
بی دی اس ام,@persian_3x,channel,-1001630173554,205435,,False,False
کُصشرخونه,@kosher_khone,channel,-1001765685098,42911,,False,False
PJ | R6,@r6_pj,channel,-1001525709571,19777,,False,False
RegaPlus,@RegaPlus,channel,-1001624311298,1176948,,False,False
پارس توییت,@ParsTwt,channel,-1001080763288,685586,,False,False
ریلزفا | ReelsFa,@ReelsFa,channel,-1001305248576,113472,,False,False
"` 𝙀𝙂𝙊, 404",@IT_SIK,channel,-1002226732177,168,,False,False
سيدنا | seyedoona,@seyyedoona,channel,-1001224882169,83034,,False,False
پزشک زناشویی,@doktor_zanashoi,channel,-1001270474935,201791,,False,False
ᴇᴄꜱᴛᴀꜱʏ,@initiatur,channel,-1001598899444,163052,,False,False
پروکسی | Proxy Qavi,@Proxy_Qavi,channel,-1001588484615,3311593,,False,False
پارتنر یابی,,channel,-1001302872192,1806,,False,False
Sm city,@Bdsm_film403,channel,-1001608672415,1169,,False,False
رلیابی 𝖑𝖌𝖇𝖙,@relyabiLgbt,channel,-1001670719380,1250,,False,False
𝗥𝗘𝗟𝗬𝗔𝗕𝗜📌,@chanel_Relyabi,channel,-1001735352945,427,,False,False
𓄂ᴄ꯭ʜᴀ꯭ɴ꯭ᴇʟ꯭ᵃ꯭ᵐ꯭ᵒ ʳ꯭ᵒʰ꯭ᵃ꯭ᵐ𓆃️,@jskwowko,channel,-1001827054866,128,,False,False
⛓♰🕯𝑇𝐴𝐵𝐸𝐷𝐺𝐻𝐴𝐻🩸♰ ⛓,,channel,-1002498008167,694,,False,False
‌ Do You Know | مجله ™,@Razcom,channel,-1001007997118,1576840,,False,False
BLOODY CLAWS™🔥,@BloodyClaws_TM,channel,-1001197261393,1263,,False,False
𝗕𝗗𝗦𝗠 𝗥⭕️⭕️𝗠,,channel,-1002131794228,923,,False,False
مامالیدی|تعیین جنسیت|هوش‌ و زیبایی,@mamaa_lady,channel,-1001879608156,70214,,False,False
•اخبار و ترفند کامپیوتر و موبایل مشکو,@Mshko_Tech,channel,-1001232272796,8581,,False,False
[ TvAspirin | تی وی آسپیرین ],@TvAspirin,channel,-1001678646483,164236,,False,False
IRAN R6 | ایران آر سیکس,@IRANR6S,channel,-1001112945534,18971,,False,False
melobit | ملوبیت,@melodio,channel,-1001139311078,2591834,,False,False
MEMES ZONE,@MEMES_Z0NE,channel,-1001740988461,1972,,False,False
بازیتک پلاس | خرید و فروش اکانت,@BazitakPlus,channel,-1002062278254,8709,,False,False
خرید و فروش پیج اینستاگرام,@accont_instagram,channel,-1001516708965,4080,,False,False
Digiknowe_Shop | دیجینوشاپ,@digiknowe_shop,channel,-1002039733991,8907,,False,False
برنامه‌های مود و آموزش 📱💻,@persiancloub,channel,-1001384306198,2332,,False,False
فروشگاه بازیتک,@BaziTak,channel,-1001394214466,14581,,False,False
Partneryabii_SM,@partneryabii_sm,channel,-1001531175123,1301,,False,False
NiazCom | ترفند ™,@niazcom_ir,channel,-1001009292310,422420,,False,False
𝗛𝗲𝗽𝗿𝗼𝘁 -,@Heprotw,channel,-1002176773374,2782,,False,False
داستان شما:,@DastanShuma,channel,-1001422014766,202491,,False,False
﮼کدئین,@Codeain,channel,-1001770228449,349337,,False,False
بی دی اس ام,@shelter_pets,channel,-1002058301295,17493,,False,False
فال و شمع تراپی حنا ✨,@falllllllllllh,channel,-1001877900003,38162,,False,False
کانال فیلترشکن و پروکسی,@VPN_SOLVE,channel,-1001559665919,505248,,False,False
پارتنر یابی,,channel,-1001744285046,1859,,False,False
⅌ 𝐁𝐝𝐬𝐦 𝖎𝖓 𝐑𝐞𝐝🩸,@bdsm_red,channel,-1001542223018,5961,,False,False
👑 پارتنر یابی ⛓️ BDSM 👑,,channel,-1001239024264,1923,,False,False
پارتنریابی,,channel,-1001523243934,1852,,False,False
پارتنریابی #خاص,,channel,-1001842311785,1816,,False,False
تبلیغات خدمات ماساژ,@linkdonistr,channel,-1001041640555,139694,,False,False
ایران وی ام | IRVM,@irvm_org,channel,-1002096520026,4193,,False,False
کانال رسمی دهات مافیا,@mafiabot_official,channel,-1001290568988,97394,,False,False
𝑭𝒂𝒌𝒆 𝑯𝒐𝒕,@Fake_Hot,channel,-1001952193705,503,,False,False
νρη σɗ,@vpnod,channel,-1001561160874,5227,,False,False
𝗠𝗜𝗗𝗡𝗜𝗚𝗛𝗧,@vtmnotes,channel,-1001722135378,1502,,False,False
ɪʀɢᴛ 𝗦𝗛𝗢𝗣,@IRGT_Shop,channel,-1001809196728,1541,,False,False
𖥐 𝙓𝙃𝙊𝙏 𝙉𝙤𝙫𝙚𝙡 ࿐,,channel,-1002101217633,100,,False,False
🕯𝐴 S̸ 𝐷 𝑂 𝑀 𝐴 S̸ 𝑂🕯,,channel,-1001451783743,4284,,False,False
بی دی اس ام شاپ,@bdsmtoy_shop,channel,-1001850383002,8348,,False,False
ربات عکس کارتونی | تبدیل عکس به کارتون | AI | آرایش چهره | نقاشی | پروفایل | کارتون | انیمه ژاپنی | هوش‌ مصنوعی | انیمه | Ghibli,@Animatorist_Bot,channel,-1001277020420,90883,,False,False
ALIW,@aliww_channel,channel,-1001106050865,169,,False,False
PYTHON PROGRAMMING,@pythons_n,channel,-1001948100372,3197,,False,False
کانال دعاو طلسمات انگشتر های موکلدار,@ostaddavodeaa,channel,-1002050901378,5079,,False,False
CODING QUIZ,@CodingQuizz,channel,-1002079585581,2637,,False,False
ناگفته ها,,channel,-1001145542439,3,,False,False
فیلم ارباب برده کاکولد..,@iranian_sinners,channel,-1002226498295,46692,,False,False
🍺مشروب،ویسکی،آبجو🥃,@tak_mashrob,channel,-1001918075554,444979,,False,False
هیروباکس | herobox.ir,,channel,-1001605489293,4397,,False,False
خرید و فروش پیج اینستاگرام,@seIler_insta,channel,-1001725121630,7402,,False,False
شماره مجـــــازی jumbul,@majazijumbul,channel,-1002389265461,277,,False,False
FREE PREMIUM COURSE,@FreeCourse_0_0,channel,-1002096068241,2678,,False,False
ادلیست موش - کامبو روزانه موش,@Airdroping_zero,channel,-1001637424099,8786,,False,False
Pourix-Vpn,@pourix_vpn,channel,-1001924858046,1168,,False,False
کانفیگ رایگان/اکانت پریمیوم تلگرام,@premium_irann,channel,-1001908865916,341,,False,False
Connectix,@connectix,channel,-1001925377162,2932,,False,False
HACKER TALKS,@hackertipstrick,channel,-1001625789987,2311,,False,False
KALI LINUX COMMAND,@kalilinux_command,channel,-1001841148524,2358,,False,False
ParsNetwork | پارس نتورک,@ParsNet_Official,channel,-1001857943981,385,,False,False
